source,target,type,attribute
14,223,Type_C,1.48
126,284,Type_A,0.55
51,290,Type_B,1.14
145,154,Type_C,3.46
276,494,Type_A,0.64
102,192,Type_C,3.22
134,261,Type_B,0.51
308,297,Type_A,2.7
39,172,Type_B,2.67
278,454,Type_B,0.97
492,234,Type_C,0.55
384,292,Type_B,2.34
200,391,Type_A,1.72
130,412,Type_B,3.11
332,281,Type_B,2.8
84,36,Type_B,3.05
316,193,Type_B,2.26
434,414,Type_C,1.59
265,227,Type_A,1.64
347,37,Type_A,0.96
305,120,Type_A,2.29
452,53,Type_C,3.37
41,339,Type_C,2.63
156,176,Type_B,1.85
163,72,Type_C,1.15
154,252,Type_C,3.16
419,262,Type_C,0.95
237,142,Type_A,0.71
232,292,Type_C,2.54
159,79,Type_A,0.63
330,455,Type_A,3.14
297,278,Type_B,3.47
488,483,Type_B,2.86
70,495,Type_A,0.8
263,401,Type_A,2.3
209,430,Type_A,1.68
168,392,Type_B,2.88
268,479,Type_A,2.9
125,58,Type_A,2.05
398,445,Type_C,1.76
215,360,Type_B,2.16
1,400,Type_A,2.32
271,261,Type_C,2.88
330,347,Type_C,2.77
65,421,Type_B,3.37
320,382,Type_C,2.37
123,133,Type_A,2.39
343,402,Type_C,0.51
289,394,Type_B,2.36
281,161,Type_A,2.89
167,325,Type_C,0.57
172,254,Type_B,3.18
321,383,Type_C,1.28
414,53,Type_A,1.15
137,153,Type_B,2.98
308,300,Type_A,0.77
483,152,Type_A,2.8
482,336,Type_A,1.47
453,129,Type_A,2.64
322,320,Type_A,1.47
221,417,Type_A,0.76
153,362,Type_A,2.96
211,223,Type_B,1.27
346,39,Type_C,0.55
75,299,Type_C,2.77
325,65,Type_C,0.95
120,221,Type_A,3.04
8,129,Type_B,2.61
386,340,Type_A,2.96
130,500,Type_C,2.25
161,487,Type_A,1.93
117,72,Type_C,2.38
1,269,Type_C,0.51
59,476,Type_B,1.28
254,306,Type_A,1.38
26,33,Type_A,3.44
320,251,Type_C,0.92
6,204,Type_C,3.4
36,492,Type_A,0.94
197,409,Type_B,2.51
155,449,Type_B,3.44
294,378,Type_C,2.2
341,310,Type_B,2.37
167,423,Type_C,2.01
199,226,Type_A,1.14
111,113,Type_C,3.05
417,305,Type_A,1.68
356,209,Type_B,2.37
403,141,Type_A,1.02
200,456,Type_A,2.65
280,336,Type_C,2.87
367,304,Type_C,2.4
84,281,Type_B,1.03
260,357,Type_A,2.64
93,329,Type_C,2.02
50,404,Type_C,2.6
31,125,Type_C,2.26
48,214,Type_B,1.55
6,446,Type_B,3.33
474,322,Type_A,2.01
367,196,Type_B,1.24
43,364,Type_A,2.91
79,58,Type_A,2.87
229,491,Type_A,2.79
392,109,Type_B,2.49
129,144,Type_B,2.49
342,288,Type_B,3.41
300,142,Type_A,2.6
211,213,Type_C,2.22
136,448,Type_C,1.5
431,216,Type_C,1.6
10,43,Type_B,2.62
55,194,Type_C,2.43
41,296,Type_C,3.36
473,298,Type_A,0.61
216,413,Type_A,2.66
275,90,Type_C,0.75
200,325,Type_B,1.76
177,192,Type_B,1.92
111,332,Type_C,0.51
119,107,Type_C,0.61
449,327,Type_C,1.35
473,455,Type_A,2.09
32,453,Type_C,2.92
360,169,Type_B,1.23
70,187,Type_C,1.74
30,114,Type_B,2.75
423,454,Type_C,2.82
10,56,Type_B,2.77
27,374,Type_A,3.08
274,102,Type_B,2.83
473,311,Type_C,2.16
49,249,Type_C,1.16
297,500,Type_B,2.21
405,33,Type_A,1.41
133,248,Type_A,2.69
21,43,Type_A,1.67
114,5,Type_C,0.77
92,103,Type_A,1.11
62,489,Type_C,2.9
340,24,Type_B,1.35
170,287,Type_A,0.56
89,33,Type_B,1.56
127,325,Type_A,3.45
409,160,Type_C,2.52
476,70,Type_C,2.55
353,228,Type_B,1.69
9,46,Type_C,2.75
47,301,Type_A,1.69
128,146,Type_A,3.37
145,464,Type_A,3.33
86,149,Type_C,2.9
336,440,Type_B,3.1
263,456,Type_C,1.03
277,125,Type_C,2.91
167,259,Type_B,1.06
169,448,Type_A,3.25
121,408,Type_B,2.78
16,471,Type_C,2.68
207,151,Type_C,3.0
36,449,Type_C,1.12
363,435,Type_A,0.7
130,349,Type_A,1.71
29,266,Type_A,2.41
428,500,Type_B,0.95
160,191,Type_C,3.17
261,14,Type_C,1.36
366,445,Type_C,1.46
154,153,Type_C,2.1
379,500,Type_C,3.3
220,98,Type_C,2.24
463,5,Type_B,2.24
72,83,Type_C,0.81
43,56,Type_A,1.22
330,235,Type_A,0.56
112,421,Type_C,2.05
331,50,Type_A,1.39
127,400,Type_B,1.37
136,140,Type_C,1.9
163,94,Type_A,3.49
254,361,Type_A,1.7
187,42,Type_C,1.64
83,250,Type_C,1.3
424,134,Type_A,2.01
420,20,Type_A,2.76
177,113,Type_C,2.49
230,125,Type_C,2.64
57,462,Type_A,2.98
393,268,Type_A,1.26
244,288,Type_B,0.76
355,421,Type_A,0.53
14,91,Type_A,1.9
177,234,Type_C,1.34
143,241,Type_C,0.8
449,284,Type_A,1.64
39,449,Type_C,3.14
60,243,Type_C,2.32
173,120,Type_B,3.29
239,65,Type_A,2.56
10,242,Type_B,2.07
218,42,Type_A,2.5
150,402,Type_A,1.9
41,86,Type_A,1.12
114,70,Type_C,3.2
87,53,Type_A,2.41
184,251,Type_C,0.66
433,52,Type_A,3.48
132,469,Type_C,3.26
88,54,Type_A,1.28
25,114,Type_C,2.08
79,234,Type_C,0.59
455,112,Type_B,2.78
112,267,Type_C,1.87
361,68,Type_B,2.79
463,201,Type_A,0.71
71,351,Type_B,2.11
17,380,Type_A,2.35
296,469,Type_A,1.34
316,447,Type_B,0.8
284,86,Type_B,2.23
312,184,Type_B,2.01
118,53,Type_A,0.56
379,359,Type_A,1.5
18,51,Type_B,3.3
375,245,Type_B,3.36
437,40,Type_A,1.72
305,266,Type_B,1.51
377,25,Type_B,2.02
314,85,Type_C,2.41
408,278,Type_B,1.95
452,284,Type_C,1.84
92,423,Type_B,2.67
106,177,Type_A,0.89
360,93,Type_A,2.1
338,191,Type_B,2.02
226,99,Type_C,1.18
376,303,Type_B,1.16
55,131,Type_C,3.05
407,290,Type_A,1.68
204,196,Type_C,2.83
437,318,Type_C,1.19
450,108,Type_C,3.19
297,15,Type_C,1.69
478,435,Type_C,1.08
191,113,Type_C,2.72
192,78,Type_C,3.36
57,298,Type_A,2.39
426,281,Type_B,3.12
179,260,Type_A,2.68
138,408,Type_B,1.73
352,331,Type_A,2.77
122,283,Type_C,2.42
343,224,Type_C,1.41
188,350,Type_B,3.48
206,398,Type_A,2.35
437,151,Type_C,2.51
139,308,Type_C,2.99
184,496,Type_C,3.44
38,33,Type_C,1.12
431,336,Type_B,3.5
437,416,Type_B,1.37
42,3,Type_C,2.53
55,85,Type_A,1.76
415,248,Type_A,2.05
206,254,Type_A,3.31
292,34,Type_A,2.47
207,484,Type_C,2.68
34,184,Type_A,0.72
208,71,Type_B,2.22
245,367,Type_B,2.47
389,497,Type_B,1.84
275,246,Type_A,1.71
279,216,Type_A,3.01
217,241,Type_C,2.44
57,23,Type_C,1.96
161,489,Type_A,0.53
269,22,Type_A,2.76
462,337,Type_C,1.33
108,455,Type_B,2.8
465,347,Type_A,2.2
147,37,Type_B,2.15
159,48,Type_B,1.45
164,355,Type_A,2.17
223,441,Type_C,2.99
420,52,Type_B,3.35
310,180,Type_C,0.6
19,382,Type_A,3.46
200,314,Type_B,2.99
217,483,Type_C,1.62
71,20,Type_C,2.59
174,441,Type_A,2.06
33,173,Type_B,2.58
455,311,Type_B,2.74
48,36,Type_A,2.55
63,461,Type_C,1.81
212,324,Type_A,2.62
79,60,Type_C,3.41
16,120,Type_C,3.07
307,412,Type_A,3.21
430,74,Type_B,1.67
324,92,Type_A,0.56
309,378,Type_C,1.17
109,24,Type_C,3.38
322,168,Type_A,2.83
52,307,Type_A,1.47
441,268,Type_A,0.73
17,206,Type_B,1.25
118,108,Type_C,1.81
426,81,Type_A,2.04
335,371,Type_C,2.31
209,3,Type_C,1.97
135,53,Type_A,1.41
366,480,Type_B,1.74
180,61,Type_A,2.46
232,251,Type_C,1.6
361,136,Type_A,0.81
326,115,Type_B,2.1
330,414,Type_C,2.95
54,101,Type_A,0.61
487,477,Type_A,1.44
340,278,Type_B,0.89
298,461,Type_C,2.72
475,94,Type_B,1.12
428,427,Type_C,1.69
12,369,Type_C,2.54
162,48,Type_B,2.09
479,478,Type_A,0.59
498,82,Type_B,1.18
419,463,Type_C,3.38
290,318,Type_B,2.89
416,165,Type_C,1.0
5,185,Type_C,3.24
379,283,Type_B,1.61
83,141,Type_C,3.18
169,293,Type_B,0.94
41,144,Type_A,3.07
37,110,Type_A,1.76
82,261,Type_A,0.53
161,325,Type_A,3.3
454,398,Type_B,2.32
259,488,Type_C,2.79
252,183,Type_C,2.61
310,124,Type_B,1.04
416,142,Type_C,1.56
153,177,Type_C,2.07
427,300,Type_C,1.83
319,209,Type_B,0.88
412,28,Type_A,2.75
118,484,Type_A,1.64
320,210,Type_A,1.37
279,29,Type_A,2.92
304,351,Type_C,3.1
54,176,Type_A,0.94
147,138,Type_A,0.91
274,215,Type_A,3.02
107,187,Type_A,2.12
404,410,Type_B,3.25
448,336,Type_A,1.27
312,183,Type_A,1.6
270,186,Type_A,2.66
221,330,Type_A,0.73
198,426,Type_B,1.67
352,484,Type_B,2.56
434,65,Type_C,2.23
423,135,Type_C,1.24
462,392,Type_C,0.97
323,462,Type_C,0.78
221,451,Type_B,1.45
276,158,Type_C,1.09
118,438,Type_A,1.36
144,347,Type_A,3.44
399,457,Type_A,1.49
441,45,Type_A,2.66
51,39,Type_C,1.87
243,60,Type_B,3.05
273,497,Type_B,3.45
134,10,Type_B,2.75
126,69,Type_C,1.66
486,461,Type_A,2.3
16,54,Type_C,2.15
322,475,Type_B,2.25
163,73,Type_B,2.01
82,264,Type_C,2.74
202,329,Type_B,2.68
286,408,Type_A,1.41
206,299,Type_A,1.05
119,151,Type_B,2.04
473,234,Type_A,0.71
304,462,Type_C,2.71
325,256,Type_A,1.34
446,137,Type_B,2.89
236,178,Type_B,2.79
497,219,Type_C,0.7
436,352,Type_C,1.85
232,293,Type_A,0.62
338,82,Type_A,1.12
40,388,Type_B,1.2
245,3,Type_B,0.5
67,491,Type_B,2.8
454,113,Type_C,3.38
414,77,Type_A,2.13
391,93,Type_B,0.67
268,251,Type_A,1.27
31,424,Type_A,2.82
439,255,Type_B,3.21
371,200,Type_B,2.98
245,389,Type_A,0.58
394,103,Type_B,1.35
151,461,Type_A,2.62
92,3,Type_B,3.06
400,119,Type_A,0.81
14,83,Type_A,2.63
139,114,Type_A,0.53
438,267,Type_C,0.9
203,135,Type_A,3.49
365,17,Type_C,0.89
421,443,Type_C,0.56
393,381,Type_B,0.98
364,317,Type_C,2.01
382,371,Type_B,1.66
484,10,Type_C,1.67
4,276,Type_B,1.22
377,292,Type_A,3.44
196,217,Type_B,2.27
277,25,Type_A,1.18
375,368,Type_B,1.77
52,352,Type_A,2.23
175,14,Type_C,2.67
173,233,Type_C,2.99
100,20,Type_B,1.08
40,463,Type_B,2.26
356,354,Type_A,1.25
499,110,Type_B,0.75
173,354,Type_A,2.29
241,80,Type_B,1.35
156,301,Type_C,2.51
484,252,Type_A,2.79
420,87,Type_C,1.3
8,179,Type_A,3.31
450,231,Type_A,2.82
103,7,Type_A,3.32
422,398,Type_A,2.32
470,209,Type_B,2.75
477,68,Type_A,2.94
453,385,Type_B,2.25
239,47,Type_B,2.44
21,499,Type_A,1.82
3,185,Type_A,1.76
155,319,Type_B,0.54
56,47,Type_C,1.73
81,369,Type_C,2.99
185,197,Type_C,2.29
325,357,Type_B,1.15
28,479,Type_C,2.55
224,125,Type_B,2.3
492,470,Type_C,2.02
326,29,Type_C,1.73
135,461,Type_B,2.79
300,156,Type_C,2.78
211,456,Type_A,1.12
393,204,Type_B,1.9
283,481,Type_B,0.55
379,40,Type_B,1.09
235,175,Type_B,2.33
2,318,Type_C,2.99
376,416,Type_B,1.72
160,117,Type_C,2.47
43,355,Type_A,2.54
431,351,Type_A,1.16
135,209,Type_C,2.55
274,224,Type_B,1.8
349,138,Type_A,0.7
239,266,Type_C,2.86
280,304,Type_B,1.16
272,300,Type_A,1.43
315,261,Type_A,1.21
469,319,Type_C,1.49
73,90,Type_A,1.77
447,188,Type_A,1.7
238,343,Type_A,2.87
212,25,Type_A,2.69
68,240,Type_B,3.33
290,353,Type_B,1.01
377,92,Type_C,0.54
312,228,Type_B,3.28
268,450,Type_B,1.95
289,244,Type_A,1.79
495,349,Type_C,0.8
157,210,Type_B,1.06
171,410,Type_A,1.71
295,296,Type_A,1.51
41,300,Type_A,1.02
32,480,Type_C,3.34
421,292,Type_B,2.86
24,476,Type_B,1.25
259,379,Type_B,2.81
158,147,Type_A,1.14
437,385,Type_B,1.83
430,197,Type_C,2.38
268,198,Type_C,0.89
59,290,Type_B,2.69
137,389,Type_A,3.21
70,299,Type_C,1.71
58,330,Type_C,1.29
291,303,Type_B,0.66
84,239,Type_A,1.41
411,368,Type_A,2.46
438,93,Type_B,1.87
494,73,Type_C,0.81
86,19,Type_C,1.91
476,470,Type_A,3.17
432,18,Type_B,1.59
63,417,Type_A,2.22
333,12,Type_C,2.46
133,252,Type_B,2.05
393,328,Type_C,2.67
244,348,Type_A,0.7
479,480,Type_B,2.05
339,91,Type_C,1.87
289,499,Type_A,3.4
131,291,Type_C,1.54
129,367,Type_C,2.68
329,392,Type_A,3.1
306,179,Type_B,3.42
270,342,Type_B,2.06
103,85,Type_C,3.16
337,23,Type_B,1.13
154,167,Type_C,1.94
367,131,Type_C,2.33
178,115,Type_C,2.0
458,169,Type_B,2.07
475,338,Type_A,2.5
276,49,Type_B,2.83
63,250,Type_B,1.46
383,111,Type_C,2.1
279,139,Type_A,2.27
244,181,Type_A,3.39
88,199,Type_C,1.4
333,375,Type_C,1.89
263,316,Type_C,2.97
398,95,Type_A,1.04
119,451,Type_C,1.32
141,210,Type_A,2.79
67,32,Type_B,2.57
421,115,Type_A,1.74
278,444,Type_A,3.26
204,266,Type_B,2.04
18,484,Type_B,2.69
253,387,Type_B,2.77
120,123,Type_C,0.94
45,358,Type_A,1.76
91,245,Type_A,1.76
425,499,Type_A,1.13
131,281,Type_A,1.41
431,164,Type_A,2.88
150,151,Type_B,2.03
456,486,Type_C,3.1
425,90,Type_A,2.66
31,459,Type_A,1.57
27,80,Type_A,1.64
452,223,Type_A,2.62
210,52,Type_C,1.62
304,65,Type_B,1.83
226,411,Type_C,2.24
401,34,Type_A,2.72
176,181,Type_C,1.3
253,364,Type_C,3.1
19,197,Type_A,3.01
459,240,Type_A,1.02
156,202,Type_A,1.06
128,369,Type_A,2.67
389,181,Type_A,3.46
286,168,Type_B,2.49
360,117,Type_A,3.34
287,133,Type_B,0.63
62,280,Type_C,2.37
270,80,Type_B,2.66
273,234,Type_B,2.81
105,278,Type_A,1.38
485,499,Type_B,3.28
142,425,Type_C,2.38
173,412,Type_B,3.32
369,58,Type_B,3.09
37,488,Type_B,3.22
184,278,Type_B,2.39
50,198,Type_B,1.18
290,179,Type_B,3.17
34,339,Type_C,0.54
146,22,Type_A,3.38
323,441,Type_B,2.31
189,212,Type_A,3.13
268,276,Type_B,0.53
167,459,Type_C,2.87
388,49,Type_C,3.26
366,439,Type_C,2.94
294,5,Type_A,0.7
16,177,Type_C,1.7
372,190,Type_B,3.1
228,325,Type_A,2.65
72,486,Type_B,0.63
279,407,Type_A,1.57
84,317,Type_C,0.69
304,320,Type_A,2.82
396,403,Type_B,1.91
465,8,Type_B,2.57
468,279,Type_B,2.36
419,386,Type_A,0.84
94,446,Type_C,0.66
116,241,Type_A,1.71
358,3,Type_A,1.94
120,211,Type_C,2.24
66,11,Type_B,1.96
268,374,Type_B,2.93
66,276,Type_A,3.33
476,260,Type_C,1.15
53,77,Type_B,3.0
486,44,Type_C,2.98
41,453,Type_A,0.5
435,343,Type_B,1.42
257,77,Type_C,0.55
301,300,Type_C,1.56
148,170,Type_B,1.71
252,407,Type_A,3.16
260,82,Type_C,3.1
322,179,Type_C,3.32
371,480,Type_B,1.37
43,498,Type_A,0.61
204,452,Type_B,1.02
278,172,Type_A,2.79
27,181,Type_B,0.88
287,486,Type_A,2.17
20,407,Type_B,0.55
385,499,Type_B,2.01
43,390,Type_B,1.26
110,300,Type_B,3.31
485,214,Type_A,1.58
235,331,Type_C,1.49
363,337,Type_C,0.94
268,99,Type_B,1.29
76,423,Type_B,1.05
269,180,Type_A,3.19
430,134,Type_C,2.4
151,453,Type_B,2.71
133,176,Type_C,0.96
474,60,Type_A,0.74
330,461,Type_B,2.61
197,160,Type_B,2.89
129,62,Type_B,1.51
374,238,Type_A,0.84
165,64,Type_B,0.6
491,234,Type_A,2.95
42,115,Type_A,1.58
424,180,Type_C,3.13
31,370,Type_B,1.9
97,86,Type_C,1.76
405,59,Type_A,1.76
254,155,Type_A,1.23
174,46,Type_A,2.46
299,77,Type_B,2.68
80,118,Type_B,2.49
74,80,Type_C,2.75
279,449,Type_B,2.46
300,243,Type_A,0.87
45,282,Type_B,1.81
495,73,Type_B,1.37
32,83,Type_B,3.27
418,384,Type_A,1.89
393,327,Type_B,3.37
424,314,Type_A,2.17
313,483,Type_C,0.94
373,268,Type_B,2.01
54,488,Type_A,0.55
219,30,Type_A,3.47
424,170,Type_A,2.28
349,405,Type_A,1.85
144,152,Type_B,1.98
391,29,Type_A,0.63
308,260,Type_A,2.36
475,108,Type_A,0.67
291,436,Type_C,3.21
363,461,Type_A,3.38
457,59,Type_A,1.71
40,36,Type_B,3.48
104,466,Type_B,1.55
60,14,Type_A,3.31
452,389,Type_A,0.96
259,260,Type_B,1.82
416,323,Type_B,3.42
283,437,Type_A,0.61
246,406,Type_B,3.27
187,91,Type_B,2.89
188,56,Type_A,1.31
148,248,Type_B,2.74
300,233,Type_A,2.06
448,131,Type_B,1.21
237,442,Type_C,2.07
51,86,Type_B,1.14
411,478,Type_A,2.99
337,300,Type_A,0.7
247,492,Type_B,3.11
272,436,Type_B,2.95
85,164,Type_A,0.89
82,275,Type_B,0.63
96,359,Type_B,2.04
28,304,Type_B,2.04
77,80,Type_B,2.34
62,217,Type_A,1.14
65,371,Type_A,2.37
235,373,Type_C,0.54
170,280,Type_B,2.45
211,52,Type_A,3.04
328,457,Type_B,1.34
26,235,Type_A,3.47
141,222,Type_A,3.06
499,46,Type_A,0.86
29,17,Type_B,1.22
436,255,Type_C,2.09
54,190,Type_B,1.73
100,306,Type_A,3.07
117,395,Type_A,1.1
272,40,Type_B,1.15
417,278,Type_B,2.58
464,210,Type_B,2.02
106,236,Type_C,1.84
242,17,Type_B,1.84
474,403,Type_A,2.87
347,448,Type_A,1.41
204,399,Type_B,2.03
135,299,Type_A,0.96
381,440,Type_B,0.66
443,272,Type_C,1.51
487,49,Type_A,2.72
497,364,Type_A,1.82
470,410,Type_A,1.29
343,162,Type_A,1.13
161,185,Type_B,1.59
478,386,Type_C,2.17
204,3,Type_B,1.86
463,492,Type_B,3.15
36,10,Type_A,3.01
487,291,Type_B,3.04
127,393,Type_B,1.7
438,26,Type_C,2.78
345,243,Type_A,1.54
263,439,Type_B,0.94
30,87,Type_C,1.07
170,247,Type_A,3.04
485,259,Type_B,1.78
134,410,Type_B,0.97
483,69,Type_A,1.9
500,387,Type_A,0.9
467,210,Type_A,1.35
77,24,Type_B,0.64
196,12,Type_C,2.64
447,497,Type_C,2.86
119,286,Type_B,2.22
305,413,Type_C,0.86
306,112,Type_B,2.46
235,497,Type_A,1.82
248,287,Type_A,0.67
463,361,Type_B,2.44
132,341,Type_B,0.71
38,334,Type_A,2.47
42,304,Type_C,3.33
47,382,Type_B,2.53
235,353,Type_B,1.94
216,111,Type_C,1.4
369,24,Type_C,0.6
354,310,Type_A,2.76
51,272,Type_A,1.92
21,137,Type_B,3.15
402,57,Type_C,0.85
461,143,Type_C,0.9
10,127,Type_A,0.61
137,168,Type_B,1.35
148,97,Type_A,2.11
218,421,Type_A,1.56
291,491,Type_A,0.94
420,376,Type_B,1.21
298,121,Type_B,3.02
432,121,Type_C,0.73
472,14,Type_B,2.31
128,204,Type_A,1.08
357,63,Type_C,1.52
215,208,Type_A,0.84
260,359,Type_C,2.51
184,257,Type_B,2.99
353,178,Type_A,3.05
439,138,Type_B,2.17
49,32,Type_A,0.9
318,77,Type_B,2.1
455,491,Type_C,0.94
181,251,Type_A,0.93
49,68,Type_C,1.29
414,166,Type_B,2.37
460,53,Type_B,1.09
84,31,Type_A,2.98
197,51,Type_B,2.77
53,452,Type_A,0.92
130,34,Type_A,3.0
340,481,Type_C,1.06
36,255,Type_C,2.35
471,183,Type_A,2.46
242,360,Type_A,3.27
203,368,Type_C,1.62
478,307,Type_A,1.64
255,415,Type_A,2.67
152,142,Type_A,2.6
414,444,Type_A,3.28
415,143,Type_A,2.79
72,298,Type_B,2.92
184,247,Type_B,0.54
400,100,Type_C,1.33
105,103,Type_C,2.93
150,254,Type_A,3.01
376,417,Type_B,1.21
311,171,Type_B,2.87
129,51,Type_C,1.21
354,169,Type_C,1.85
108,373,Type_B,0.91
95,403,Type_C,1.82
358,139,Type_B,2.96
476,360,Type_B,1.2
48,62,Type_B,1.3
64,415,Type_B,2.08
485,216,Type_B,2.88
117,198,Type_C,1.13
127,471,Type_B,3.21
116,233,Type_A,2.58
308,403,Type_A,2.45
76,425,Type_A,1.32
343,397,Type_A,1.41
380,19,Type_A,3.3
248,388,Type_B,1.52
25,316,Type_A,2.49
211,326,Type_B,3.09
106,425,Type_A,3.42
410,162,Type_B,2.35
352,157,Type_C,1.96
83,298,Type_C,1.87
410,18,Type_B,1.15
402,14,Type_B,1.17
357,128,Type_A,1.19
257,190,Type_C,1.94
155,179,Type_C,1.9
239,401,Type_A,1.06
348,79,Type_C,3.27
278,249,Type_C,2.6
264,85,Type_B,2.1
295,189,Type_B,1.78
113,298,Type_C,2.59
314,22,Type_B,2.3
334,37,Type_C,3.11
111,108,Type_B,1.99
129,391,Type_A,2.5
75,42,Type_C,1.99
329,187,Type_C,2.28
374,338,Type_A,1.18
159,270,Type_C,3.47
369,488,Type_B,1.58
27,379,Type_C,3.02
254,278,Type_B,1.8
484,66,Type_C,2.9
46,249,Type_B,3.11
49,254,Type_A,1.92
378,164,Type_B,1.89
202,496,Type_C,1.45
97,65,Type_C,2.42
296,131,Type_A,3.4
160,121,Type_A,0.93
187,224,Type_C,3.3
279,307,Type_A,3.35
226,72,Type_A,1.96
248,319,Type_C,1.28
13,193,Type_C,1.24
103,266,Type_C,0.93
206,358,Type_A,2.42
182,495,Type_C,3.23
49,2,Type_B,2.2
150,54,Type_A,0.99
464,101,Type_A,3.34
66,320,Type_C,0.75
365,387,Type_B,2.03
157,358,Type_B,2.15
395,495,Type_B,3.3
353,498,Type_A,1.23
100,354,Type_A,2.21
149,475,Type_A,2.12
183,208,Type_B,1.32
443,284,Type_A,3.39
111,448,Type_C,2.54
465,451,Type_B,2.66
84,351,Type_A,3.3
209,382,Type_A,3.12
220,391,Type_B,0.82
239,224,Type_C,1.88
42,241,Type_C,1.03
285,111,Type_A,1.02
76,117,Type_B,2.32
468,349,Type_A,1.49
135,23,Type_C,2.59
367,266,Type_C,1.24
347,208,Type_B,1.18
216,133,Type_C,1.26
362,187,Type_B,1.09
308,216,Type_B,1.41
433,476,Type_A,0.78
412,453,Type_A,1.97
473,283,Type_C,2.88
120,281,Type_A,0.61
323,115,Type_B,1.65
488,39,Type_C,2.28
70,51,Type_A,2.16
289,238,Type_C,1.33
316,341,Type_A,2.17
78,140,Type_B,1.53
367,14,Type_A,0.92
22,388,Type_A,1.19
139,6,Type_B,2.61
473,31,Type_A,2.89
213,486,Type_A,1.67
329,23,Type_C,3.05
463,252,Type_B,1.72
2,122,Type_B,1.82
436,234,Type_A,1.24
259,49,Type_B,1.92
335,187,Type_B,3.2
393,430,Type_C,2.22
411,447,Type_A,2.47
140,249,Type_C,2.3
266,474,Type_A,2.55
219,133,Type_A,2.47
297,318,Type_B,0.98
357,183,Type_A,2.11
80,54,Type_C,2.39
280,494,Type_A,1.45
475,175,Type_C,2.25
4,181,Type_A,2.82
70,126,Type_A,1.41
218,24,Type_B,1.82
209,61,Type_B,2.94
437,68,Type_A,2.73
224,449,Type_A,3.01
239,83,Type_A,3.25
459,352,Type_B,0.8
272,117,Type_A,1.99
342,361,Type_B,3.15
314,113,Type_A,3.33
340,251,Type_B,3.43
322,239,Type_C,2.92
38,480,Type_A,3.42
305,415,Type_B,2.32
58,49,Type_C,2.59
268,496,Type_C,0.54
414,443,Type_A,0.8
299,376,Type_A,2.48
422,303,Type_A,1.22
352,467,Type_A,2.01
301,13,Type_B,2.36
243,331,Type_C,2.28
498,441,Type_B,2.73
296,343,Type_C,3.35
169,122,Type_C,2.07
39,421,Type_A,3.13
352,323,Type_C,1.69
393,132,Type_C,3.3
105,488,Type_C,3.33
318,223,Type_C,3.0
129,436,Type_B,1.38
150,1,Type_B,1.79
135,101,Type_B,0.97
107,268,Type_A,1.06
495,264,Type_C,2.59
352,215,Type_A,3.08
245,274,Type_B,3.04
471,437,Type_A,1.94
50,35,Type_C,1.71
129,328,Type_C,2.71
188,5,Type_B,2.28
304,445,Type_B,1.04
492,352,Type_C,1.15
278,392,Type_C,1.98
258,185,Type_C,1.01
431,256,Type_A,1.66
102,166,Type_A,2.48
198,399,Type_C,1.53
